UMAP1,UMAP2,Feature,Density
7.952745,5.9165673,Divergence-free magnetic fields in numerical methods,0.002169477041849912
6.643958,8.302383,[C II] 158 μm Emission Line,0.0016980117424326136
2.9134483,5.82247,Supernova Remnants and Associated Phenomena,0.0011491966673296647
6.7392936,5.3184943,Parker Solar Probe and Solar Wind,0.001900594488275984
8.937744,9.141055,Rings in astronomy,0.01949214347278393
4.4005613,6.5361423,Misaligned accretion discs in binary systems,0.00457837005606017
8.622304,8.411402,Transitional phases in astronomical objects,0.0017237950009944972
9.851248,9.562672,FPGA technology in astronomy,0.004132688015204756
9.434554,5.5467467,High-temperature superconductors (cuprates),0.0023794264329966776
9.184358,8.285097,CMB analysis using WMAP multipole vectors,0.00307925773681923
5.5013666,11.909875,Ariel mission and exoplanet atmospheres,0.0022394601722321673
5.799041,10.801044,Trojan asteroids and their dynamics,0.002136327137984633
7.7179646,9.363991,AGILE satellite gamma-ray observations,0.003885905397541014
10.147101,9.118153,Estimation methods in astrometry and instrumentation,0.0028877249589309524
5.8306885,7.366277,"TeV gamma-ray sources, SNRs, molecular clouds",0.0021326438153329353
6.000799,12.168109,Exoplanet transits and analysis,0.0007587644662497145
8.337013,6.9263244,Effective Temperature (T<SUB>eff</SUB>),0.012339130883187105
10.504498,4.1738443,Warm Dark Matter (WDM),0.0016280286120503584
6.4190893,4.825691,Sunspot observations and analysis,0.0019779442639616344
6.018255,9.142608,Broad-line radio galaxy 3C 120,0.002209993591018586
9.419853,9.864098,Robotic fiber positioners in astronomy,0.002559909242929862
8.079346,7.044418,Episodic accretion in astrophysical systems,0.0016501285479605442
7.7335234,8.599212,Running of the spectral index,0.0018527112938039147
6.4586625,9.119712,Algol System,0.0017274783236461947
8.472422,2.5739772,Gravitational lensing challenges and simulations,0.001775361518118264
5.3254952,11.386281,Planetary surface processes and outgassing,0.0031455575445497874
5.3409014,7.4156575,Stellar flares and high-cadence photometry,0.002744075375514744
4.336037,9.885675,Vertical breathing motions in galaxies,0.0020221441357820063
2.771094,5.570547,Supernovae light curves and emissions,0.009871304706549684
10.448514,4.133925,Dark Matter Annihilation,0.006817830228292338
5.7711754,8.491079,Lyman Break Galaxies (LBGs),0.0038785387522376185
8.66722,10.833522,INTEGRAL/SPI instrument and applications,0.0018748112297141005
6.8474116,8.716582,HK Survey and Ca II H & K lines,0.0031897574163701594
6.1007314,7.8275614,Covering factors in quasars and AGNs,0.004699919703566193
9.119993,7.078628,Random Walks in Astrophysical Contexts,0.0017495782595563806
7.269143,11.382884,CoRoT Space Mission,0.0026519923092223033
10.601514,4.4743967,Bose-Einstein Condensate (BEC),0.002158427073894819
3.2817593,5.4819098,Macronovae from neutron star mergers,0.0012560130242288965
9.396636,8.39992,Archeops experiment,0.001292846250745873
5.498511,5.8395915,Gamma-ray burst afterglows,0.013116311962695307
8.129037,10.52435,MICROSCOPE mission and Equivalence Principle testing,0.001053430278385526
3.8115473,8.612017,Virgo cluster studies,0.006125365569773181
3.7243474,8.34368,Orion Kleinmann-Low (KL) region,0.0016169786440952654
11.431578,6.7544556,Leptogenesis and related theories,0.00636109821948183
4.931878,7.5661144,Variable stars and observational studies,0.0020921272661642613
9.288514,10.677569,ISO-SWS Calibration and Modelling,0.0026704089224807914
10.941914,9.410293,Convolutional Neural Networks in Astrophysics,0.0018711279070624028
5.102406,8.502778,Star Formation Regions,0.008865757622636227
6.6596265,11.409749,Deep Impact mission on Comet 9P/Tempel 1,0.0029282415080996264
8.126955,5.8198724,Magnetic reconnection and fields,0.002965074734616603
10.320653,10.408414,Astronomy education and outreach programs,0.0023831097556483755
6.2850595,8.483155,Lyman-alpha and Lyman-beta emissions,0.03877433755442109
6.331874,8.406459,Lyman series in astrophysical phenomena,0.005458684169815907
9.876801,6.3345337,Cosmological particle/matter creation,0.008777357878995484
5.086464,8.620327,Star formation in molecular clouds,0.0033444569677414603
10.829714,4.644757,Equation of state parameter for dark energy,0.009289339727581458
5.019169,9.022591,Water masers in galaxies,0.0067404804526066875
10.894792,6.1231756,String networks in cosmology,0.002128960492681238
9.246786,9.134613,Holography in Astronomy,0.00237574311034498
4.102255,7.452902,Thermally Pulsing Asymptotic Giant Branch (TP-AGB) Stars,0.002147377105939726
7.2832713,7.4541597,Carbon in astrophysical contexts,0.004239504372103987
5.5131583,3.9390683,Reissner-Nordström black hole,0.0024309929501204444
10.556337,8.333165,Bayesian analysis methods in astrophysics,0.10080149100900941
9.909322,3.9624252,Xenon (Xe) and Liquid Xenon (LXe),0.002117910524726145
10.487554,5.086626,Supersymmetry (SUSY),0.0028656250230207664
10.458941,7.938009,Numerical methods for black hole simulations,0.0018416613258488217
5.5918117,5.925328,GeV emission in gamma-ray bursts,0.0063500482515267374
8.206268,7.6883264,"Astrophysical ""fingers"" phenomena",0.0014917456739375456
5.281029,9.771772,Dust attenuation curves in star-forming galaxies,0.0023204932705695154
2.8590379,8.587888,NGC 604 and massive star formation,0.006246915217279203
9.285592,8.140355,CMB Cold Spot and Supervoids,0.002803008537941907
10.171807,5.57877,Stephan's Quintet,0.0013444127678696397
7.5627737,7.1770372,Cyclotron Resonance Scattering Features (CRSFs),0.0019595276507031463
2.9620218,7.63427,North America and Pelican Nebulae studies,0.0030019079611335792
8.671754,10.694305,Advanced detector readout systems and performance,0.002559909242929862
6.812873,4.12442,Coronal Mass Ejections (CMEs) and WISPR observations,0.0018895445203208911
4.332726,7.540499,Runaway stars,0.004364737342261707
5.43145,9.1707735,"Galaxy clusters, caustic technique, MAR, liquid noble gas detectors.",0.0009208306629244109
6.6025567,9.806877,J-PLUS survey and methodologies,0.006051699116739228
8.646752,6.8138046,Entrainment in astrophysical contexts,0.0013959792849934068
7.384555,9.493942,Terahertz (THz) Observations,0.0018821778750174958
8.552749,10.103013,Dragonfly Telephoto Array Studies,0.0013775626717349187
5.9149575,11.124145,Cometary surface evolution,0.0014733290606790573
5.938629,9.026794,High redshift objects,0.002530442661716281
4.7751803,10.285261,Slim accretion disks,0.0010276470198236425
7.108976,11.549222,CoRoT mission and transiting exoplanets,0.004777269479251844
6.57895,5.3578687,Solar irradiance measurement and reconstruction,0.0029392914760547196
4.3017683,6.553131,Eccentricity in binary systems,0.016497602156953745
9.987469,8.150589,Kolmogorov analysis in astrophysics,0.0026372590186155126
5.5421057,11.43861,Geological and Meteorological Studies,0.002559909242929862
8.749709,4.1332455,IceCube Neutrino Observatory contributions to ICRC,0.0015027956418926386
10.880804,6.0143633,Moduli stabilization in string theory,0.002585692501491746
4.2388515,9.55715,Early-type galaxies (ETGs) evolution,0.004327904115744731
5.2530665,7.8016825,Stellar Evolutionary Tracks and Isochrones,0.01084738520924956
6.372819,11.79527,Exoplanetary missions and characterization,0.0028729916683241617
4.5456133,8.526478,Long-Period Variables in Magellanic Clouds,0.0025341259843679785
11.057128,9.5076,Machine learning in astronomy,0.002331543238524608
11.449517,6.285309,Scalarization in scalar-tensor gravity theories,0.0012265464430153152
5.145453,3.7969563,Gravitational recoil in black hole mergers,0.0024641428539857236
4.8036036,7.9117045,Exotic and non-standard stellar objects,0.23762219422897007
8.081684,7.8321366,Extreme astronomical phenomena,0.07812695676515871
9.309359,8.45484,Interpixel Capacitance (IPC) in hybridized arrays,0.0026777755677841867
5.737798,12.092657,HD 80606b exoplanet studies,0.0011418300220262694
4.558791,9.095636,Brightest Cluster Galaxies in X-ray Clusters,0.004909869094712959
7.7672844,7.0105224,Hydrogen in astrophysical phenomena,0.025971108017120083
11.149443,6.435654,Kaluza-Klein theories and extra dimensions,0.0032855238053142977
4.87896,4.8078785,Birth properties of neutron stars,0.014829056995734712
7.1162786,8.287498,Detection of specific molecules in astrochemistry,0.0031124076406845087
10.664808,7.973657,Validation and comparison of models,0.004140054660508151
7.0739937,5.930839,Star-Planet Magnetic Interactions,0.004729386284779774
8.795909,7.016674,Sedimentation/Settling in Astrophysical Contexts,0.0043131708251379405
10.480149,8.730448,Advanced computational astrophysics techniques,0.0012375964109704082
3.1348805,7.890035,Homunculus Nebula around Eta Carinae,0.002305759979962725
4.3718023,8.235088,Age determination of stellar populations,0.12351654180202877
5.153166,9.257697,Toothbrush radio relic in galaxy clusters,0.0020221441357820063
4.8028398,3.2462385,Stochastic Gravitational Wave Background (SGWB),0.0030829410594709274
5.0483713,8.712786,Star Formation Rate (SFR) in galaxies,0.015204755906207871
4.259895,7.597851,HgMn stars,0.003355506935696553
2.7665868,5.592009,Supernova rise times and light curves,0.0033002570959210884
8.025305,11.028531,CALET experiment on ISS,0.0008103309833734816
10.947179,7.214023,Cosmological parameters and large-scale structure,0.0027109254716494655
5.457259,6.88249,EXO 0748-676,0.0018637612617590075
5.5392632,8.40756,Deuterated molecules in star-forming regions,0.0023278599158729108
8.157526,9.788101,CHARIS integral field spectrograph,0.0021031772341193545
6.18775,8.558821,Lyman-alpha forest (Lyα forest),0.00346968993789918
8.343449,9.155045,"21 cm HI line, BAO, intensity mapping",0.005521300654894768
6.595049,4.7248163,Quiet Sun,0.008184342932072163
6.8571115,7.537084,Chlorine-bearing molecules and isotopic ratios,0.0022799767214008414
10.109604,7.7934685,Theoretical models in astrophysics,0.0019300610694895652
6.665018,7.9429255,Brackett Gamma Emission,0.003060841123560742
5.339672,11.86161,Climate stability and habitability of exoplanets,0.0038564388163274325
7.188943,9.01293,X-ray reflection spectra,0.009764488349650453
9.145955,8.275813,Delensing of CMB B-mode Polarization,0.0017422116142529853
9.85215,9.530984,TAIGA experiment and data management,0.0017937781313767524
8.215808,7.200086,Sharp features in astrophysical phenomena,0.0025562259202781645
10.440541,6.873348,Pati-Salam model and related phenomena,0.0017016950650843112
6.3859944,9.609369,CALIFA survey and galaxy properties,0.006512114448201434
10.804794,4.5080357,Coupled dark energy and dark matter,0.0030718910915158346
5.941867,11.142588,Cometary interactions and nongravitational effects,0.002405209691558561
7.6118217,11.297528,Space mission planning and optimization,0.0022247268816253767
2.9634469,8.673423,NGC 253 Starburst Galaxy,0.004280020921272661
4.386264,9.921115,Trigonometric parallaxes in Milky Way's spiral arms,0.003222907320235438
10.616625,6.0749207,"Quantum field theory, solitonic solutions",0.003911688656102898
11.115992,5.626417,Hilltop Inflation Models,0.001333362799914547
6.0800843,7.922625,Ultra-Fast Outflows in AGN X-ray observations,0.003359190258348251
11.9068985,6.269851,Graviton mass and implications,0.006077482375301112
10.231941,6.089806,Casimir Effect and Quantum Vacuum,0.0023020766573110273
5.2153296,10.286577,Dust aggregates in protoplanetary disks,0.0031308242539429968
4.999286,4.7624493,Nuclear Pasta in Neutron Stars,0.0022063102683668886
5.5563936,10.057831,Dust aggregates' collisional properties,0.0029687580572683005
7.4055424,9.175582,X-ray and gamma-ray observations and simulations,0.005049835355477469
4.327906,9.906099,Prolate rotation in galaxies,0.002364693142389887
3.9585576,7.308442,EX Lupi and related phenomena,0.020365090941236272
10.316795,9.112939,Innovative technological applications in astrophysics,0.002036877426388797
10.890013,6.864458,Constraints on cosmological phenomena,0.09036295461409828
8.744503,4.2056193,Lake Baikal Neutrino Experiment,0.0007992810154183887
5.162547,7.3628883,Flickering in accreting systems and stellar variability,0.0012560130242288965
10.506845,5.993112,Advanced Quantum Field Theory Concepts,0.005466050815119303
6.40125,10.369716,Detailed studies of specific astronomical objects,0.0035470397135848306
10.243004,7.4842677,Sink particles in simulations,0.0019042778109276816
7.6869693,11.082997,INTEGRAL mission and results,0.00823590944919593
9.570843,10.6235,Atmospheric conditions for observatory site selection,0.007661311115531098
4.9763103,3.9345186,Neutron star-black hole mergers and gravitational waves,0.004243187694755685
10.288911,8.527503,Comparison of astrophysical methods,0.005790183208468695
10.731462,8.421408,Minimum Spanning Tree (MST) Algorithm,0.0015359455457579173
7.1993685,8.903938,HiRes experiment and findings,0.002942974798706417
4.4504967,8.663931,Lupus molecular cloud complex,0.001631711934702056
7.7544093,6.548556,Nuclear reaction rates in astrophysics,0.0036796393290459456
10.412785,7.832659,Riemann solvers in numerical methods,0.0011860298938466411
9.01511,9.901578,Astronomical atlases or surveys,0.0023020766573110273
11.107338,6.5959163,Lagrangian Perturbation Theory in Cosmology,0.001767994872814869
5.5803266,9.9161215,Dust interaction with radiation in astrophysics,0.003605972876011993
9.665056,9.466225,Contamination in astronomical data,0.009952337804887032
4.854839,7.1430583,Cataclysmic Variables (CVs) and their properties,0.005635483657097394
4.8419204,7.201719,AM CVn systems,0.002965074734616603
10.762958,6.5234346,Backreaction in cosmology,0.0066925972581346185
5.717725,7.2349687,Blazars,0.014600690991329459
8.349202,7.052401,"""Maximum"" or ""max"" in astrophysical phenomena",0.03562141336456791
9.801991,7.4250684,Setting astrophysical limits/constraints,0.056623719124547875
5.64377,8.459935,Late Heavy Bombardment (LHB),0.00231312662526612
8.934032,7.72053,CRASH radiative transfer code,0.0021105438794227498
5.3419094,9.379298,Subhalo Abundance Matching (SHAM),0.0022983933346593295
7.6526313,10.022056,NICMOS on Hubble Space Telescope,0.0028066918605936042
4.149995,5.341336,Polar caps and pulsars,0.004858302577589192
4.915658,9.393918,redMaPPer algorithm and galaxy clusters,0.0014954289965892432
6.6310186,8.199105,Iron (Fe) emission lines,0.04870457542339794
8.808771,4.2363544,NEMO telescope and neutrino detection,0.0027735419567283255
8.278524,6.9597464,Thermodynamics and phase transitions in astrophysics,0.0019042778109276816
8.463109,2.5656857,Gravitational Lensing and Image Analysis Competitions,0.0018748112297141005
3.6519725,6.8390145,ɛ Indi Ba and Bb brown dwarfs,0.0006998313038225522
3.2325277,9.37267,Sagittarius Dwarf Spheroidal Galaxy,0.0075029282415081
4.349263,8.380948,Washington photometry in star cluster studies,0.0019668942960065416
7.2648077,10.209863,WISE/NEOWISE coadded infrared images,0.003495473196461064
5.2610326,7.160257,"Convection, mass loss, rotation in stars",0.005996449276963764
8.848278,8.182699,Polarization in astronomy,0.011539849867768718
3.577728,9.284829,Malin 1 galaxy and its properties,0.0012265464430153152
7.56638,9.511969,LOFT (Large Observatory For X-ray Timing),0.0013480960905213374
8.184426,6.4568267,High-energy astrophysics and TeV gamma-rays,0.0034439066793372965
9.50237,6.8486648,Kompaneets equation and related processes,0.0012965295733975706
3.904012,7.507518,GQ Lup system and substellar companion,0.00128179628279078
5.8758197,11.295899,Ceres surface and composition studies,0.0006629980773055758
5.552105,5.130111,Neutron and cosmogenic activation processes,0.0017643115501631713
2.8657322,8.594531,NGC 6397 studies,0.0018121947446352407
10.93619,6.5606527,CP violation in cosmology,0.002261560108142353
10.330445,10.048922,"Interdisciplinary, educational, astrobiology, art in astronomy",0.0019190111015344722
8.057647,11.0629425,MAXI instrument on ISS,0.004865669222892587
8.203663,6.5516043,Hadronic processes in astrophysics,0.006854663454809315
8.253899,6.310928,High-energy astrophysics and particle physics,0.049816938864210625
10.87689,6.7705073,Bianchi cosmological models,0.00173484496894959
5.375729,7.9133167,Aquarius Stream,0.0020589773622989825
10.859346,5.5509834,Inflaton and its interactions,0.007079346136562871
9.213988,4.4059877,Neutrino oscillations and muon neutrinos,0.0020847606208608664
8.85795,10.02645,Pyramid wavefront sensors in adaptive optics,0.0032486905787973215
3.7245634,8.635498,Globular Cluster M4 Studies,0.07478618312006895
3.738851,9.740721,Elliptical galaxies and their properties,0.0376693407589118
7.740404,10.940639,Satellite missions and observational techniques,0.003605972876011993
6.8687124,4.8741155,Babcock-Leighton solar dynamo mechanism,0.0020074108451752157
8.8672285,9.942935,Platform Deformation in Radio Interferometry,0.0016059286761401725
9.587282,10.960036,Selection effects and instrumentation issues,0.0022983933346593295
10.652171,6.537599,Bounce Cosmology,0.0019484776827480533
8.212525,10.083473,Radio Frequency Interference in Astronomy,0.002924558185447929
4.9331574,11.688091,Radial velocity studies of close binaries,0.0018784945523657982
5.9474993,11.800009,Detailed study of transiting hot Jupiters,0.00512718513116312
11.963469,6.463632,Modified gravity theories in cosmology,0.002998224638481882
4.2864485,5.4335117,Redback millisecond pulsars (MSPs),0.0027146087943011633
9.308888,8.185326,Cosmic X-ray Background (CXB) Measurement,0.001477012383330755
6.8091865,9.28875,IPHAS survey and Hα emission studies,0.0020589773622989825
10.841411,4.5885053,Dark energy and cosmic acceleration,0.007274562237102846
8.534449,7.1130943,Caustics in astrophysical phenomena,0.003605972876011993
3.9958985,9.397604,Compact Groups of Galaxies,0.008199076222678955
10.906359,9.571163,Automation and Machine Learning in Astronomy,0.007495561596204704
5.6038575,6.6713643,H1743-322 outbursts and analysis,0.003046107832953951
6.8168716,7.233943,Isotopic ratios in Solar System formation,0.003119774285987904
10.637471,6.56763,Early Universe Theoretical Cosmology,0.0016759118065224278
5.3990064,4.185769,Intermediate-Mass Black Holes (IMBHs),0.004036921626260617
10.500499,4.2316046,Anapole dark matter,0.0021842103324567026
3.8009353,7.7003384,Tip of the Red Giant Branch,0.0021031772341193545
7.187303,5.061859,Magnetic flux cancellation in solar atmosphere,0.0012633796695322916
6.320343,7.6824183,TANAMI program and AGN monitoring,0.0011786632485432458
6.1568923,6.594519,Zwicky Transient Facility (ZTF),0.0017311616462978923
6.961038,7.022397,<SUP>3</SUP>He isotope abundance in astrophysics,0.021727920322364397
4.394505,6.3126454,PSR B1259-63/LS 2883 binary system,0.0011123634408126883
5.18681,8.600119,Star Formation Efficiency in Dense Gas,0.004854619254937494
8.481501,6.968819,Production mechanisms in astrophysics,0.04736384597818
4.1182127,5.319824,Pulsar polarization and emission geometry,0.0033444569677414603
6.1064105,6.7353187,Supergiant Fast X-ray Transients (SFXTs),0.0021878936551084
8.045617,6.715955,Synchrotron radiation in astrophysics,0.022088885942230768
5.294337,7.75039,Stellar Occultations,0.003119774285987904
8.344237,7.252045,Extreme events and phenomena in astrophysics,0.02298761666924499
7.2703414,4.990686,Magnetic flux tubes in solar MHD,0.0041842545323285225
5.9027996,11.908401,Exoplanets and their characteristics,0.09805004898819127
11.023536,6.9084077,Bispectrum in cosmology,0.006482647866987852
6.3888936,7.634499,AGN jet dynamics and stability,0.0068767633907195
9.096659,7.0513325,Complex astrophysical dynamics and structures,0.0037127892329112244
4.518839,5.529276,Anomalous X-ray Pulsars (AXPs),0.002364693142389887
4.2472844,5.480483,Millisecond Pulsars in Globular Clusters,0.006545264352066712
7.596987,11.19005,TianQin mission,0.0004825152673723913
7.582874,7.319544,Water in astronomical contexts,0.002169477041849912
9.821335,8.9455,Unexpected discoveries in astronomy,0.0015064789645443362
7.790853,10.598649,Laser Interferometer Space Antenna (LISA),0.005760716627255114
8.165458,8.174088,Detailed specific astronomy phenomena,0.0018858611976691935
8.671109,6.7791586,Gas dynamics in astrophysical phenomena,0.09979962724774764
10.167237,3.8445039,EDELWEISS dark matter search features,0.0013922959623417091
6.7585444,11.384095,Comet 67P/Churyumov-Gerasimenko and Rosetta Mission,0.0010350136651270379
3.5612583,9.498713,Dwarf galaxies in the Local Group,0.0032044907069769496
10.563075,7.524067,Advanced theoretical physics concepts,0.0037533057820798984
10.821636,4.6888943,Thawing quintessence models in dark energy,0.0013186295093077563
8.834097,10.754696,Detector technology and instrumentation,0.0063905648006954115
10.308261,7.5663137,MareNostrum Universe Simulation,0.0014328125115103832
5.78976,10.748821,Spin properties and rotational dynamics of asteroids,0.0033002570959210884
5.1743474,7.4693923,Stellar spots and their effects,0.009510339086683315
10.785433,5.9959555,Warped throat geometries in type IIB string theory,0.0038674887842825257
4.0509834,7.4834027,Third dredge-up in AGB stars,0.002983491347875091
11.050443,9.506358,Deep learning in astronomical image processing,0.005333451199658188
8.811341,9.925915,ATLAS surveys and data analysis,0.011933965391500365
7.6577396,10.351989,Hinode satellite observations,0.004084804820732687
9.517894,6.2397013,Collider-based cosmological particle physics,0.0023425932064797014
8.8933735,7.257837,Frame-dragging in rotating astrophysical objects,0.0034623232925957846
8.845496,7.3306994,Complex multi-component astrophysical phenomena,0.012250731139546361
3.9255314,9.488964,Submillimeter Galaxies (SMGs),0.0029798080252233937
3.833965,9.821413,Green Valley in Galaxy Evolution,0.0022247268816253767
4.5202203,8.661954,"High-Velocity Clouds, Complex C",0.018604462713724797
5.8058705,12.131078,HD 189733b exoplanet studies,0.0021842103324567026
7.6604986,5.91848,Magnetic field strength in astrophysics,0.004478920344464335
3.811935,8.646213,Centaurus A (Cen A) related studies,0.0037864556859451776
8.568458,5.046881,Yakutsk EAS Array and Cosmic Rays,0.0029171915401445337
6.104024,8.69792,Herschel HIFI molecular spectroscopy in star-forming regions,0.0031234576086396014
9.264612,9.693618,Astronomical surveys and data analysis,0.004059021562170803
11.05735,5.632452,Hybrid inflation and related aspects,0.0026114757600536292
4.225068,9.635537,Passive galaxies and their evolution,0.00592278282392981
9.666916,10.500553,Chinese astronomy projects and infrastructure,0.01426919195267667
4.066878,5.372089,Pulsar giant pulses and emissions,0.002821425151200395
10.067028,8.583624,Quantitative analysis and modeling in astronomy,0.002725658762256256
5.700546,4.060766,Black holes in astrophysics,0.10448481366070705
9.157731,8.078242,"CMB, Polarization, Quasars, Magnetic Reconnection",0.15249692442558582
11.068032,6.3034077,Brane cosmology and higher dimensions,0.015046373032184873
9.725035,5.2311697,Lepton asymmetry in early universe,0.0028914082815826503
10.066897,9.170346,Binning techniques in data analysis,0.007532394822721681
8.475562,5.76511,High-energy particle interactions in cosmic phenomena,0.0011749799258915482
8.624411,10.66868,Cadmium Zinc Telluride (CZT) Detectors,0.0026409423412672105
6.1318274,6.8016696,Supergiant Fast X-ray Transients (SFXTs),0.004497336957722822
9.6660385,9.205451,Tagging techniques in stellar studies,0.001292846250745873
5.653877,6.0031366,Optical transients and gamma-ray bursts,0.0027293420849079536
10.360893,6.158009,Quantum mechanics in astronomy and cosmology,0.0193853271158847
8.101992,6.907999,Nucleation in astrophysical environments,0.004416303859385474
9.056262,6.008977,Magnetohydrodynamics and Numerical Simulations,0.002747758698166442
9.377734,9.758733,Astronomical databases,0.006199032022807134
6.0023165,12.213859,Detection of transiting exoplanets,0.0033702402263033437
9.449188,10.792385,Keck Observatory and its instruments,0.017248999977900064
11.390828,6.896545,Leptogenesis,0.002942974798706417
8.895478,6.907087,Drag forces in astrophysics,0.005793866531120393
4.887191,7.083999,ZZ Ceti stars and asteroseismology,0.0018121947446352407
8.026758,7.5125847,Tensile strength of space materials,0.002408893014210259
11.993081,6.4438114,Granular matter in reduced gravity,0.002696192181042675
6.441212,8.601532,Interstellar medium and star formation,0.0022026269457151907
6.4668555,7.5494547,Collimation of astrophysical jets,0.0022026269457151907
7.540973,9.175633,Lags in X-ray and gamma-ray observations,0.004316854147789638
3.7748525,9.033489,M51 Galaxy and Interactions,0.0051787516482868865
6.6301427,8.827301,Diffuse Interstellar Bands (DIBs) and Carriers,0.002169477041849912
10.417559,6.0495825,Quantum Tunneling,0.0023610098197381895
8.24697,10.2619,AU Microscopii system and phenomena,0.0014328125115103832
6.585309,6.9035997,Beryllium abundances in stars,0.0010018637612617591
7.9007974,9.814423,SOI technology in X-ray pixel sensors,0.0013554627358247327
9.7372465,9.710515,Astronomical distance measurement techniques,0.04238767707573648
8.59079,9.128739,Intensity mapping in cosmological surveys,0.01633553596027905
10.30716,9.077252,Interpolation methods in astronomy,0.0021215938473778426
10.476335,8.677234,Advanced computational methods in astrophysics,0.0021436937832880285
5.0550685,7.9897747,Pre-stellar core molecular ion chemistry,0.0019190111015344722
10.406133,4.256797,Dark matter in extended Standard Model,0.01800776444414978
8.010689,9.969622,Arecibo Radio Telescope Observations,0.003171340803111671
8.736173,4.1235466,IceCube Neutrino Observatory Optical Sensors,0.002051610716995587
4.4428744,8.7078285,Magellanic Clouds and interactions,0.0028324751191554877
2.84241,8.587435,NGC 6240,0.0015101622871960339
8.977492,6.210913,Rossby Wave Instability (RWI),0.0019779442639616344
6.8080497,5.199338,GOES observations of solar flares,0.004806736060465425
8.678177,10.645479,CZT detectors performance optimization,0.0016538118706122418
6.2799554,9.684262,Galaxy And Mass Assembly (GAMA) Survey,0.0020442440716921923
4.6677027,6.1245427,Gamma-ray binaries and stellar occultations,0.0033518236130448556
3.9323213,8.750707,Arcturus-specific studies,0.0014328125115103832
7.4742627,11.237929,BRITE-Constellation mission and nanosatellites,0.001116046763464386
10.514345,4.263406,mSUGRA models and dark matter constraints,0.002014777490478611
5.6780744,10.7174015,Triple asteroid systems' orbital dynamics,0.0041842545323285225
7.752259,10.346128,Planck mission's Low Frequency Instrument (LFI),0.0013075795413526633
4.7511573,3.1912103,Gravitational waves and their detection,0.05042100377908904
6.6684647,11.143319,Hayabusa mission and asteroid Itokawa,0.0354851304264551
9.511752,10.218595,Telescope scheduling and optimization algorithms,0.0014696457380273598
11.0220585,6.349697,False vacuum scenarios in cosmology,0.0032081740296286475
5.437104,7.8065114,Orphan Stream and related phenomena,0.0011712966032398507
4.4340963,8.658935,Serpens Molecular Cloud,0.0016832784518258231
4.9568653,10.880021,Planet formation processes,0.002294710012007632
8.730022,4.1283617,IceTop array and IceCube Observatory,0.0006998313038225522
5.961247,12.1180105,Transiting disintegrating planetesimals around white dwarfs,0.0028914082815826503
10.847994,10.413762,Historical and educational aspects of astronomy,0.0029798080252233937
